2022-07-16 23:53:04,P[W],DE[kWh],GE[kWh],PVu[V],DCBUS[V],PVi[A],ACu[V],ACi[A],f[Hz],T[C],iRCD[mA],S[VA],fi[]
2022-07-17 00:27:10,0,0.00,1156041.75,0.3,0.2,0.00,225.8,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:27:20,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:27:30,0,0.00,1156041.75,0.3,0.2,0.00,226.0,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:27:40,0,0.00,1156041.75,0.3,0.2,0.00,225.6,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:27:50,0,0.00,1156041.75,0.3,0.2,0.00,226.1,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:28:00,0,0.00,1156041.75,0.3,0.2,0.00,226.1,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:28:10,0,0.00,1156041.75,0.3,0.2,0.00,226.7,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:28:20,0,0.00,1156041.75,0.3,0.2,0.00,226.3,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:28:30,0,0.00,1156041.75,0.3,0.2,0.00,226.3,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:28:40,0,0.00,1156041.75,0.3,0.2,0.00,226.4,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:28:50,0,0.00,1156041.75,0.3,0.2,0.00,221.0,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:29:01,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.00,19.1,0.0,0,0.000
